FITLER,FITLER_SIZE,EDGE,DP,THRESH1,THRESH2,x,y,r,Accurancy
none,11,canny,2.5,10,60,161,121,80,0
none,11,canny,2.5,10,90,146,46,80,0
none,11,canny,2.5,10,120,196,41,70,0.035714286
none,11,canny,2.5,30,60,146,46,80,0.035714286
none,11,canny,2.5,30,90,74,46,84,0.071428571
none,11,canny,2.5,30,120,196,41,70,0.142857143
none,11,canny,2.5,50,60,76,41,80,0.107142857
none,11,canny,2.5,50,90,-1,-1,-1,0.178571429
none,11,canny,2.5,50,120,146,46,80,0.428571429
none,11,sobel,1.5,-1,-1,154,112,76,0
none,11,sobel,2,-1,-1,153,113,74,0
none,11,sobel,2.5,-1,-1,146,101,76,0
none,11,laplacian,1.5,-1,-1,151,112,86,0.035714286
none,11,laplacian,2,-1,-1,149,113,82,0.035714286
none,11,laplacian,2.5,-1,-1,151,101,86,0
